cust_id,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore
14834207,168,2,110.67999999999999,4,3,4,434
14847707,7,3,81.97,5,4,4,544
14862393,102,5,103.37,5,5,4,554
14913548,58,7,262.93,5,5,5,555
14921935,1,14,348.86000000000007,5,5,5,555
14975664,42,17,555.8299999999999,5,5,5,555
14976614,168,2,121.97999999999999,4,3,4,434
15037369,168,1,66.99,4,1,3,413
15042606,168,1,40.99,4,1,2,412
15062915,42,11,377.71000000000004,5,5,5,555
15067451,168,2,92.47999999999999,4,3,4,434
15094658,168,1,20.99,4,1,1,411
15098614,14,8,325.93000000000006,5,5,5,555
15099549,56,2,80.98,5,3,4,534
15108314,127,3,143.97,5,4,5,545
15112555,168,1,46.99,4,1,2,412
15117217,168,1,53.99,4,1,3,413
15124672,47,3,191.97,5,4,5,545
15131772,168,1,74.99,4,1,3,413
15147299,168,2,71.98,4,3,3,433
15148323,168,2,13.98,4,3,1,431
15163474,40,15,509.85,5,5,5,555
15191432,168,2,11.48,4,3,1,431
15204953,168,1,55.99,4,1,3,413
15214451,168,2,23.98,4,3,1,431
15223841,168,1,59.95,4,1,3,413
15236578,168,1,21.99,4,1,1,411
15240342,23,2,130.17000000000002,5,3,4,534
15244661,168,1,30.5,4,1,2,412
15245669,73,8,145.65,5,5,5,555
15251041,168,1,61.99,4,1,3,413
15261732,168,2,118.97999999999999,4,3,4,434
15271157,168,1,16.99,4,1,1,411
15283837,168,1,7.19,4,1,1,411
15286921,29,7,286.94,5,5,5,555
15292125,168,2,19.98,4,3,1,431
15295253,168,10,523.74,4,5,5,455
15297507,168,3,95.97,4,4,4,444
15306127,102,5,268.95,5,5,5,555
15321962,168,1,41.99,4,1,2,412
15343293,168,3,110.87,4,4,4,444
15371807,157,3,113.96999999999998,5,4,4,544
15389585,168,1,32.49,4,1,2,412
15402147,168,2,102.97999999999999,4,3,4,434
15403948,168,1,69.99,4,1,3,413
15408153,168,3,100.97,4,4,4,444
15428328,21,3,75.97,5,4,3,543
15431764,168,1,71.99,4,1,3,413
15442036,168,1,37.99,4,1,2,412
15458323,168,3,72.97,4,4,3,443
15461943,21,4,200.45999999999998,5,4,5,545
15466049,10,7,347.93,5,5,5,555
15481154,37,4,72.67,5,4,3,543
15487572,168,1,109.95,4,1,4,414
15490082,50,14,686.8100000000001,5,5,5,555
15500290,67,3,85.97,5,4,4,544
15509765,32,29,1806.0600000000002,5,5,5,555
15521790,168,1,17.99,4,1,1,411
15574143,168,3,12.4,4,4,1,441
15581160,168,1,49.99,4,1,2,412
15584607,168,4,239.91000000000003,4,4,5,445
15608934,168,2,52.480000000000004,4,3,3,433
15621121,168,2,123.98,4,3,4,434
15630590,168,2,112.97999999999999,4,3,4,434
15637467,168,1,88.99,4,1,4,414
15643651,168,2,75.97999999999999,4,3,3,433
15666714,168,2,42.980000000000004,4,3,2,432
15707168,168,1,31.99,4,1,2,412
15733072,168,1,16.79,4,1,1,411
15901892,168,1,23.99,4,1,1,411
16042649,168,1,33.99,4,1,2,412
16164748,168,2,139.98,4,3,5,435
16239881,168,4,99.96,4,4,4,444
16306118,135,4,120.96000000000001,5,4,4,544
16357871,168,2,3.98,4,3,1,431
16474042,158,3,76.99000000000001,5,4,3,543
16625136,72,4,162.47,5,4,5,545
16702377,168,3,60.47,4,4,3,443
17116092,168,3,77.97,4,4,3,443
17431260,168,1,34.99,4,1,2,412
17491940,168,1,64.99,4,1,3,413
17804477,168,1,46.19,4,1,2,412
17919164,168,1,45.99,4,1,2,412
17926050,168,2,108.98,4,3,4,434
17931730,168,2,94.58000000000001,4,3,4,434
17934695,168,1,67.99,4,1,3,413
17946986,168,4,118.46999999999998,4,4,4,444
17951146,168,2,28.479999999999997,4,3,1,431
18043634,168,1,5.8,4,1,1,411
18060504,168,1,49.99,4,1,2,412
18132991,168,1,99.99,4,1,4,414
18147861,168,2,95.18,4,3,4,434
18148218,168,1,24.99,4,1,1,411
18242090,168,1,33.99,4,1,2,412
18287274,168,1,7.99,4,1,1,411
18511160,168,2,111.98,4,3,4,434
18547218,168,1,30.99,4,1,2,412
18623423,95,2,197.94,5,3,5,535
18810699,168,5,85.41,4,5,4,454
18841490,168,1,132.95,4,1,5,415
18978153,78,3,87.88,5,4,4,544
19160625,168,2,71.98,4,3,3,433
19221987,168,1,56.99,4,1,3,413
19222183,159,3,151.88,4,4,5,445
19278093,168,2,11.8,4,3,1,431
19303521,168,1,21.99,4,1,1,411
19307807,168,1,93.99,4,1,4,414
19316202,168,1,70.99,4,1,3,413
19356633,168,1,18.99,4,1,1,411
19406798,16,5,189.95,5,5,5,555
19446339,168,4,88.96,4,4,4,444
19466342,65,6,268.43,5,5,5,555
19584335,168,3,78.97,4,4,3,443
19588499,30,15,345.09000000000003,5,5,5,555
19631094,168,1,37.99,4,1,2,412
19643039,32,4,178.96,5,4,5,545
19659030,168,1,68.99,4,1,3,413
19742802,168,2,40.980000000000004,4,3,2,432
19753969,104,11,336.39000000000004,5,5,5,555
19765785,168,1,51.99,4,1,3,413
19810226,168,1,35.97,4,1,2,412
19873997,168,1,47.99,4,1,2,412
19944092,168,1,8.99,4,1,1,411
19954514,168,1,82.99,4,1,4,414
20009978,168,1,27.96,4,1,1,411
